210410701A;Casa_das_Irmãs;FORTALEZA_DOS_NOGUEIRAS;MA;-696.459;-461.814;228.200
210420601A;Centro;FORTUNA;MA;-573.646;-4.416.077;0
210480001A;Prefeitura_Municipal;GRAJAÚ;MA;-581.676;-4.614.309;65.400
210480002A;Expoagra;GRAJAÚ;MA;-580.975;-4.612.208;0
210510401A;Centro;ICATU;MA;-27.751;-4.406.541;330.600
210530201A;Caema;IMPERATRIZ;MA;-554.839;-4.747.602;318.000
210530202A;Unidade_de_Saude_da_Vila_Cafeteira;IMPERATRIZ;MA;-549.248;-4.746.031;214.000
210530203A;Semus;IMPERATRIZ;MA;-553.024;-4.748.498;262.000
210530204A;Infraero;IMPERATRIZ;MA;-553.254;-4.745.691;0
210540101A;Complexo_Esportivo;ITAPECURU_MIRIM;MA;-339.619;-4.435.254;500.200
210545001A;Centro;JATOBÁ;MA;-581.861;-442.302;370.000
210570801A;PrefeituraMunicipal;LAGO_DA_PEDRA;MA;-45.746;-4.513.088;292.200
210580701A;Centro;LAGO_DO_JUNCO;MA;-461.059;-450.546;350.200
210590601A;Prefeito_Municipal;LAGO_VERDE;MA;-404.169;-4.493.504;317.600
210630001A;Centro;MAGALHÃES_DE_ALMEIDA;MA;-339.947;-4.220.469;0
210660701A;Prefeitura_Municipal;MATÕES;MA;-5.52;-4.320.131;321.400
210663101A;Centro_Administrativo;MATÕES_DO_NORTE;MA;-363.165;-4.455.179;357.200
210670601A;Muriçoca;MIRADOR;MA;-6.363.017;44.361.566;113.000
210675501A;Prefeitura_Municipal;MIRANDA_DO_NORTE;MA;-356.219;-4.458.606;414.800
210680501A;Centro;MIRINZAL;MA;-206.688;-4.478.363;263.400
210690401A;PrefeituraMunicipal;MONÇÃO;MA;-349.137;-4.525.196;310.800
210720901A;Centro;NINA_RODRIGUES;MA;-346.515;-4.390.837;241.000
210745601A;Santa_Clara;OLINDA_NOVA_DO_MARANHÃO;MA;-3.002;-4.498.774;346.600
210750601A;ProcuradoriaMunicipal;PAÇO_DO_LUMIAR;MA;-253.196;-4.410.809;123.200
210780301A;Prefeitura_Municipal;PARNARAMA;MA;-56.821;-4.309.098;188.800
210820701A;Prefeitura_Municipal;PEDREIRAS;MA;-457.009;-4.460.489;0
210850401A;Centro;PINDARÉ-MIRIM;MA;-3.605.747;-45.342.028;134.800
210870201A;Braxim;PIO_XII;MA;-388.886;-451.708;8
210890001A;PalácioMunicipal;POÇÃO_DE_PEDRAS;MA;-475.293;-4.494.482;196.400
210910601A;São_José;PRESIDENTE_DUTRA;MA;-530.554;-4.448.522;295.000
210930401A;Centro;PRESIDENTE_VARGAS;MA;-3.408.074;-44.028.929;431.000
210945201A;SitiodaRaposa;RAPOSA;MA;-244.462;-4.413.002;314.600
210960101A;PrefeituraMunicipal;ROSÁRIO;MA;-293.714;-4.424.542;397.800
210975901A;Centro;SANTA_FILOMENA_DO_MARANHÃO;MA;-5.495.276;-44.555.752;236.000
210980901A;Hospital_Santa_Helena;SANTA_HELENA;MA;-224.276;-4.530.798;70.400
211010401A;Centro;SANTA_QUITÉRIA_DO_MARANHÃO;MA;-350.144;-425.629;193.200
211060901A;PrefeituraMunicipal;SÃO_BERNARDO;MA;-336.197;-4.242.103;135.000
211080701A;Centro;SÃO_FÉLIX_DE_BALSAS;MA;-7.083.583;-44.811.685;141.000
211130004A;Vila_Janaina;SÃO_LUÍS;MA;-25.651;-443.118;332.200
211130005A;Jardim_Sariana;SÃO_LUÍS;MA;-25.929;-4.419.023;393.800
211130006A;Jardim_Alemanha;SÃO_LUÍS;MA;-253.845;-4.427.253;355.600
211130007A;Jardim_Calhau;SÃO_LUÍS;MA;-24.991;-4.428.158;536.000
211130008A;Planalto_do_Fingão;SÃO_LUÍS;MA;-255.189;-4.422.408;326.000
211130010A;Pedrinhas;SÃO_LUÍS;MA;-271.773;-4.431.898;322.000
211140901A;CrecheMunicipal;SÃO_LUÍS_GONZAGA_DO_MARANHÃO;MA;-437.407;-4.466.434;271.200
211150801A;Casa_particular;SÃO_MATEUS_DO_MARANHÃO;MA;-405.466;-4.447.239;50.200
211172201A;Centro;SATUBINHA;MA;-40.404;-4.523.619;457.400
211210001A;Prefeitura_Municipal;TIMBIRAS;MA;-425.536;-4.393.945;289.000
211220901A;Multirão;TIMON;MA;-511.207;-4.285.308;229.000
211227401A;Hospital_Santa_Teresinha;TUFILÂNDIA;MA;-367.095;-4.663.328;347.200
211270401A;Baixada_Grande;VARGEM_GRANDE;MA;-354.754;-4.392.218;384.000
211280301A;Centro;VIANA;MA;-320.881;-4.500.337;0
211290201A;Prefeitura_Municipal;VITÓRIA_DO_MEARIM;MA;-346.153;-4.487.424;28.000
220005301U;ACAUA;ACAUÃ;PI;-8.204.998;-41.075.552;7.000
220025101C;ALAGOINHA_DO_PIAUÍ;ALAGOINHA_DO_PIAUÍ;PI;-7.009.439;-4.094.311;0
220030101A;PrefeituraMunicipal;ALTO_LONGÁ;PI;-525.264;-4.221.046;332.200
220045901C;ALVORADA_DO_GURGUEIA;ALVORADA_DO_GURGUÉIA;PI;-8.331.748;-4.382.463;0
220105101C;ASSUNÇÃO_DO_PIAUÍ;ASSUNÇÃO_DO_PIAUÍ;PI;-5.863.621;-41.056.355;81.000
220110101C;AVELINO_LOPES;AVELINO_LOPES;PI;-1.013.014;-4.394.761;0
220120001A;AC_Barras;BARRAS;PI;-4.247;-42.294;429.938
220150701A;Prefeitura_Municipal;BATALHA;PI;-402.391;-4.207.596;421.000
220155601C;BELA_VISTA_DO_PIAUÍ;BELA_VISTA_DO_PIAUÍ;PI;-796.753;-4.188.486;5.000
220173901C;BETANIA_DO_PIAUÍ;BETÂNIA_DO_PIAUÍ;PI;-813.147;-40.789.629;154.000
220190301U;BOM_JESUS;BOM_JESUS;PI;-919.173;-4.440.932;0.000
220194501A;Centro;BOQUEIRÃO_DO_PIAUÍ;PI;-448.696;-4.211.949;348.400
220200001A;Centro;BURITI_DOS_LOPES;PI;-316.735;-4.186.237;192.000
220202601C;BURITI_DOS_MONTES;BURITI_DOS_MONTES;PI;-5.299.328;-4.109.433;175.200
220220801A;Centro;CAMPO_MAIOR;PI;-4.826;-42.166;432.000
220230701C;CANTO_DO_BURITI;CANTO_DO_BURITI;PI;-8.161.972;-429.264;2.000
220260401A;RuaDomPedroII;CASTELO_DO_PIAUÍ;PI;-532.036;-415.517;256.800
220260401C;CASTELO_DO_PIAUÍ;CASTELO_DO_PIAUÍ;PI;-5.331;-41.574.189;282.000
220265301A;Centro;CAXINGÓ;PI;-342.282;-4.189.152;211.400
220270301A;Centro;COCAL;PI;-347.013;-4.155.695;274.200
220320601C;CURIMATA;CURIMATÁ;PI;-10.028.236;-44.422.588;0
220323001C;CURRAIS;CURRAIS;PI;-902.511;-4.438.793;0
220335401C;DIRCEU_ARCOVERDE;DIRCEU_ARCOVERDE;PI;-9.341.137;-42.440.177;0.000
220370101A;AC_Esperantina;ESPERANTINA;PI;-3.898.303;-42.234.024;354.613
220375001C;FARTURA_DO_PIAUÍ;FARTURA_DO_PIAUÍ;PI;-9.503.704;-42.836.813;4.600
220380001C;FLORES_DO_PIAUÍ;FLORES_DO_PIAUÍ;PI;-7.804.071;-4.292.178;21.800
220385901C;FLORESTA_DO_PIAUÍ;FLORESTA_DO_PIAUÍ;PI;-7.465.075;-41.790.892;6.000
220390901A;Centro;FLORIANO;PI;-6.774.322;-43.021.261;70.000
220390902A;Tiberão;FLORIANO;PI;-678.248;-4.300.984;82.000
220430301C;FRONTEIRAS;FRONTEIRAS;PI;-710.623;-4.058.239;7.000
220465901A;Centro;ILHA_GRANDE;PI;-2.852.383;-41.817.903;190.000
220470901C;INHUMA;INHUMA;PI;-6.678.101;-4.171.925;0
220515101C;JACOBINA_DO_PIAUÍ;JACOBINA_DO_PIAUÍ;PI;-7.930.978;-4.120.292;180.000
220553201C;JUREMA;JUREMA;PI;-9.225.765;-4.319.192;1.200
220556501C;LAGOA_DO_BARRO_DO_PIAUÍ;LAGOA_DO_BARRO_DO_PIAUÍ;PI;-8.464.136;-4.150.832;66.000
220590401C;MANOEL_EMIDIO;MANOEL_EMÍDIO;PI;-801.171;-43.880.692;0
220605001C;MASSAPE_DO_PIAUÍ;MASSAPÊ_DO_PIAUÍ;PI;-7.464.379;-41.128.173;4.000
220620901A;Centro;MIGUEL_ALVES;PI;-416.927;-4.289.441;403.000
220670401C;NAZARÉ_DO_PIAUÍ;NAZARÉ_DO_PIAUÍ;PI;-697.067;-4.266.994;0
220700901C;OEIRAS;OEIRAS;PI;-701.741;-4.210.249;41.000
220720701C;PADRE_MARCOS;PADRE_MARCOS;PI;-7.379.197;-4.090.981;0
220770201A;Mercado_Municipal;PARNAÍBA;PI;-29.046;-4.178.113;202.000
220770202A;Conjunto_Betania_1;PARNAÍBA;PI;-291.737;-4.173.768;178.000
220770203A;Nossa_Senhora_do_Carmo;PARNAÍBA;PI;-289.786;-4.177.271;213.000
220777701C;PATOS_DO_PIAUÍ;PATOS_DO_PIAUÍ;PI;-771.539;-4.140.784;73.600
220795901C;NOVA_SANTA_RITA;NOVA_SANTA_RITA;PI;-8.086.183;-4.205.173;82.000
220800701C;PICOS;PICOS;PI;-7.079.388;-41.436.319;14.000
220810601C;PIMENTEIRAS;PIMENTEIRAS;PI;-6.229.789;-41.428.996;103.000
220830401A;Fátima;PIRACURUCA;PI;-3.925.851;-41.708.022;314.000
220830401C;PIRACURUCA;PIRACURUCA;PI;-391.325;-417.097;297.600
220910401C;SANTA_CRUZ_DO_PIAUÍ;SANTA_CRUZ_DO_PIAUÍ;PI;-7.181.551;-4.176.492;36.200
220930201C;SANTA_LUZ;SANTA_LUZ;PI;-8.988.179;-44.095.897;0
220937701C;SANTA_ROSA_DO_PIAUÍ;SANTA_ROSA_DO_PIAUÍ;PI;-678.235;-4.226.332;98.000
220950001C;SANTO_INÁCIO_DO_PIAUÍ;SANTO_INÁCIO_DO_PIAUÍ;PI;-742.778;-4.192.343;83.000
220965801C;SÃO_FRANCISCO_DE_ASSIS_DO_PIAUÍ;SÃO_FRANCISCO_DE_ASSIS_DO_PIAUÍ;PI;-823.772;-4.168.414;80.000
220987201C;SÃO_JOÃO_DA_FRONTEIRA;SÃO_JOÃO_DA_FRONTEIRA;PI;-3.942.167;-412.582;0.000
221000301C;SÃO_JOÃO_DO_PIAUÍ;SÃO_JOÃO_DO_PIAUÍ;PI;-8.305.957;-4.234.601;14.200
221005201A;UBAS;SÃO_JOSÉ_DO_DIVINO;PI;-380.998;-4.182.273;452.000
221020101C;SÃO_JOSÉ_DO_PIAUÍ;SÃO_JOSÉ_DO_PIAUÍ;PI;-686.764;-4.146.621;0
221030001C;SÃO_JULIÃO;SÃO_JULIÃO;PI;-7.084.026;-40.836.006;116.400
221035901C;SÃO_LOURENCO_DO_PIAUÍ;SÃO_LOURENÇO_DO_PIAUÍ;PI;-9.162.235;-425.513;0.000
221040901C;SÃO_MIGUEL_DO_TAPUIO;SÃO_MIGUEL_DO_TAPUIO;PI;-5.459.171;-41.362.454;188.000
221060701C;SÃO_RAIMUNDO_NONATO;SÃO_RAIMUNDO_NONATO;PI;-9.005.478;-426.827;3.200
221063101C;SEBASTIÃO_LEAL;SEBASTIÃO_LEAL;PI;-7.560.999;-44.053.774;0.000
221070601C;SIMÕES;SIMÕES;PI;-7.612.627;-4.080.646;4.000
221100101A;Santa_Isabel;TERESINA;PI;-504.607;-4.274.604;310.000
221100102A;Residencial_Jacinto_Andrade;TERESINA;PI;-498.273;-4.281.594;327.000
221100103A;Renascença;TERESINA;PI;-510.189;-4.274.268;290.200
221100104A;Ihotas;TERESINA;PI;-508.766;-4.279.912;235.200
221110001A;Centro;UNIÃO;PI;-459.234;-4.285.881;338.000
221120901A;Malvinas;URUÇUÍ;PI;-7.240.904;-44.553.349;135.000
221130801C;VALENÇA_DO_PIAUÍ;VALENÇA_DO_PIAUÍ;PI;-6.414.463;-41.759.351;111.000
221170401C;WALL_FERRAZ;WALL_FERRAZ;PI;-723.351;-4.188.435;61.000
230020001A;Centro;ACARAÚ;CE;-2.878.129;-40.123.119;161.000
230020002A;Prefeitura;ACARAÚ;CE;-2.88;-40.11;154.400
230030901U;ACOPIARA;ACOPIARA;CE;-6.115.805;-39.512.805;161.000
230050701C;ALCANTARAS;ALCÂNTARAS;CE;-3.580.194;-40.531.305;290.000
230070501C;ALTO_SANTO;ALTO_SANTO;CE;-5.505.944;-38.263.472;160.000
230075401A;Gurupa;AMONTADA;CE;-3.37;-39.881;145.000
230075402A;Centro;AMONTADA;CE;-3.364;-39.828;136.200
230075403A;Nascente;AMONTADA;CE;-3.282;-39.904;115.000
230090301U;APUIARES;APUIARÉS;CE;-3.950.027;-39.401.916;59.000
230110901C;ARACATI;ARACATI;CE;-4.567.833;-37.906.194;0.000
230140601C;ARATUBA;ARATUBA;CE;-439.513;-3.904.864;66.600
230160401C;ASSARE;ASSARÉ;CE;-6.869.323;-3.987.206;155.000
230170301A;Centro;AURORA;CE;-6.943;-38.956;232.695
230170301U;AURORA;AURORA;CE;-6.949.951;-38.973.072;0
230185101C;BANABUIU;BANABUIÚ;CE;-5.217.086;-38.883.908;21.000
230190101C;BARBALHA;BARBALHA;CE;-727.722;-3.926.333;187.200
230200801C;BARRO;BARRO;CE;-7.153.182;-3.878.418;236.000
230210701A;BATURITE;BATURITÉ;CE;-4.329.238;-38.882.527;212.000
230210701C;BATURITE;BATURITÉ;CE;-4.392.682;-3.885.011;281.000
230230501A;Chapadinha;BELA_CRUZ;CE;-3.059;-40.174;0.200
230240401A;Jacauna;BOA_VIAGEM;CE;-5.138;-39.72;145.503
230250301C;BREJO_SANTO;BREJO_SANTO;CE;-7.548.106;-39.003.331;111.000
230270101C;CAMPOS_SALES;CAMPOS_SALES;CE;-707.282;-4.031.284;53.200
230280001A;Palestina;CANINDÉ;CE;-4.367.558;-39.311.276;132.000
230280001C;CANINDE;CANINDÉ;CE;-4.410.033;-3.930.233;130.000
230280002A;Centro;CANINDÉ;CE;-434.637;-3.930.008;123.000
230290901C;CAPISTRANO;CAPISTRANO;CE;-4.511.533;-388.407;205.200
230300601A;Campos_Belos;CARIDADE;CE;-409.934;-3.904.575;161.200
230300601U;CARIDADE;CARIDADE;CE;-4.217.788;-39.183.761;0
230360001C;CATARINA;CATARINA;CE;-6.144.333;-39.869.388;97.800
230370901A;Tabapuãzinho;CAUCAIA;CE;-3.741;-38.62;235.567
230370902A;Parque_São_Geraldo;CAUCAIA;CE;-3.74;-38.639;221.741
230370903A;Conjunto_Metropolitano;CAUCAIA;CE;-3.759;-38.661;262.418
230370904A;Parque_Leblon;CAUCAIA;CE;-3.743;-38.671;0
230370905A;Padre_Julio_Maria_II;CAUCAIA;CE;-3.696;-38.594;268.545
230370906A;Conjunto_São_Miguel;CAUCAIA;CE;-3.749;-38.603;210.558
230390701A;Centro;CHAVAL;CE;-3.035.505;-41.238.371;273.200
230400401A;Centro;COREAÚ;CE;-3.550.159;-40.657.412;242.000
230400401C;COREAU;COREAÚ;CE;-3.610.083;-40.727.527;273.000
230410301A;Planalto;CRATEÚS;CE;-5.188.178;-4.067.247;218.000
230410301C;CRATEUS;CRATEÚS;CE;-5.456.527;-40.725.805;275.800
230410302A;Cidade_Nova;CRATEÚS;CE;-5.169.223;-40.666.298;0
230420201A;Centro;CRATO;CE;-7.269;-39.458;216.400
230420202A;Granjeiro;CRATO;CE;-7.268;-39.433;255.200
230430101C;FARIAS_BRITO;FARIAS_BRITO;CE;-692.335;-3.957.138;200.200
230435001A;Edmundo_Rodrigues;FORQUILHA;CE;-3.801;-40.269;17.000
230435001C;FORQUILHA;FORQUILHA;CE;-3.814.638;-40.155.638;187.000
230440001A;Edson_Queiroz;FORTALEZA;CE;-3.774.444;-38.462.167;179.178
230440002A;Fátima;FORTALEZA;CE;-3.750.194;-38.531.056;146.200
230440003A;Granja_Portugal;FORTALEZA;CE;-3.789;-38.601;182.450
230440004A;Presidente_Kennedy;FORTALEZA;CE;-3.728;-38.565;192.973
230440005A;João_XXIII;FORTALEZA;CE;-3.774;-38.587;155.680
230440006A;Antonio_Bezerra2;FORTALEZA;CE;-3.726;-38.598;259.978
230440007A;Parangaba;FORTALEZA;CE;-3.781;-38.555;0.000
230440008A;Passare;FORTALEZA;CE;-3.819;-38.533;0
230440009A;Panamericano;FORTALEZA;CE;-3.753;-38.567;39.103
230440010A;Dias_Macedo;FORTALEZA;CE;-3.786;-38.521;181.077
230440011A;Antonio_Bezerra;FORTALEZA;CE;-3.736;-38.589;190.768
230440012A;Vicente_Pinzon;FORTALEZA;CE;-3.731;-38.467;195.963
230440014A;Vila_Pery;FORTALEZA;CE;-3.79;-38.581;0
230440015A;AC_Francisco_Sa;FORTALEZA;CE;-3.720.669;-38.547.938;167.185
230440016A;AC_Parangaba;FORTALEZA;CE;-3.772.921;-38.562.032;146.755
230450901C;FRECHEIRINHA;FRECHEIRINHA;CE;-3.726.472;-40.790.972;48.000
230460801C;GENERAL_SAMPAIO;GENERAL_SAMPAIO;CE;-4.032.222;-39.419.944;173.200
230465701C;GRACA;GRAÇA;CE;-3.975.638;-40.730.361;0
230470701A;Parazinho;GRANJA;CE;-3.043.083;-40.685.596;8.000
230470702A;Centro;GRANJA;CE;-3.124.484;-40.831.299;339.000
230500101C;GUARACIABA_DO_NORTE;GUARACIABA_DO_NORTE;CE;-4.158.861;-40.721.861;436.000
230535701C;ICAPUI;ICAPUÍ;CE;-4.719.111;-37.347.666;523.000
230540701A;Centro;ICÓ;CE;-640.441;-3.886.382;177.000
230540701C;ICO;ICÓ;CE;-6.413.638;-39.037.638;146.000
230540702A;Centro;ICÓ;CE;-6.4;-38.859;180.000
230550601A;Bugi;IGUATU;CE;-6.355.785;-39.303.117;152.000
230550601C;IGUATU;IGUATU;CE;-6.271.416;-39.356.111;16.000
230550602A;Distrito_Gadelha;IGUATU;CE;-643.718;-3.932.062;132.000
230565401C;IPAPORANGA;IPAPORANGA;CE;-4.897.833;-40.789.166;7.000
230600901C;IRACEMA;IRACEMA;CE;-5.780.472;-38.334.333;168.200
230610801A;Centro;IRAUÇUBA;CE;-3.745;-39.784;82.200
230610801C;IRAUCUBA;IRAUÇUBA;CE;-3.740.166;-3.979.175;76.000
230630601C;ITAPAGE;ITAPAGÉ;CE;-3.729.305;-39.670.305;183.800
230640501C;ITAPIPOCA;ITAPIPOCA;CE;-3.502.916;-39.572.972;80.600
230650401U;ITAPIUNA;ITAPIÚNA;CE;-455.168;-3.888.568;0
230660301C;ITATIRA;ITATIRA;CE;-4.641.217;-3.968.818;139.400
230670201C;JAGUARETAMA;JAGUARETAMA;CE;-5.621.361;-38.797.583;115.200
230680101C;JAGUARIBARA;JAGUARIBARA;CE;-5.468.527;-38.488.111;140.800
230690001C;JAGUARIBE;JAGUARIBE;CE;-5.987.361;-3.866.375;147.800
230700701A;AC_Jaguaruana;JAGUARUANA;CE;-4.837;-37.785;211.957
230700701C;JAGUARUANA;JAGUARUANA;CE;-4.817.666;-37.864.638;173.200
230700702A;São_José;JAGUARUANA;CE;-4.788;-37.748;237.200
230700703A;Cardeais;JAGUARUANA;CE;-4.851;-37.804;229.740
